집행목적,대상인원,집행금액,1소속부서,집행지주소,집행지명,cnt
사회문제 해결 혁신형 사업에 최대 1억원 지원 보도자료 관련 간담회,신문팀장 등 4명,88600,대변인,중구 태평로,불고기브라더스,1
언론보도 데이터 관리 업무협의 간담회,신문팀장 등 3명,56000,대변인,중구 남대문로,오복미역,1
전략적 인터뷰 방안 마련 간담회,인터뷰팀장 등 5명,96000,대변인,중구 세종대로,생어거스틴,1
기자실 운영 지원방안 업무협의 간담회,행정팀장 등 3명,70000,대변인,중구 다동길,진미족발,1
임시정부 기념관 '독립운동 클러스터'조성 기자설명회 관련 간담회,대변인 등 8명,120000,대변인,중구 남대문로,세림,1
선제적 미디어 대응 방안 마련 업무협의 간담회,신문팀장 등 4명,94000,대변인,중구 을지로,반갑다하대포,1
"19년 여의도 한강, 수변거점 탈바꿈 기자설명회 관련 간담회",대변인 등 6명,150000,대변인,중구 세종대로,금강산,1
시정 주요이슈 발굴 업무협의 간담회,언론담당관 등 7명,136500,대변인, 중구 정동길,보나베띠정동점,1
시정 홍보 취재 지원 여기자 간담회,행정팀 이은주 등 7명,160000,대변인,중구 세종대로,우도일식,1
미디어상황실 개선방안 마련 간담회,언론행정팀 선일규 등 2명,22000,대변인,중구 무교로,무교소호정,1
부정보도 대응방안 업무협의 간담회,신문팀장 등 5명,66500,대변인,중구 다동길,（주)초류향,1
보도계획 수립 및 보도자료 발굴 업무협의 간담회,신문팀장 등 4명,21550,대변인,중구 남대문로,퀴즈노스,1
대언론 메시지 작성 관련 업무협의 간담회,언론담당관 등 2명,73500,대변인,중구 다동길,（주)초류향,1
길고양이 9천마리 중성화 추진 보도자료 관련 간담회,행정팀장 등 14명,311000,대변인,중구 남대문로,놀부부대찌개,1
취재지원 다각화 방안 업무협의 간담회,대변인 등 4명,100000,대변인,중구 세종대로,더테이블한정식,1
증언으로 보는 위안부 이야기 강연회 보도자료 관련 간담회,신문팀장 등 5명,104000,대변인,중구 을지로,구이구이,1
촛불집회 서울도서관 촬영 지원 근무자 격려 간담회,방송팀장 등 2명,32500,대변인,종로구 청계천로,스쿨푸드,1
맞춤형 방송 기획 취재지원 방안 업무협의 간담회,방송팀장 등 10명,211000,대변인,중구 세종대로,열빈,1
인터넷뉴스 모니터링 관련 업무협의 간담회,언론담당관 등 6명,135000,대변인,중구 무교동,남산집,1
인천시와 공동으로 물이용부담금 2차 포럼 개최 관련 간담회,신문팀 박병수 등 2명,33800,대변인,중구 태평로,춘산,1
"서울시, 경제민주화 2년차..을(乙)들의 경제주권 강화 기자설명회 관련 간담회",대변인 등 7명,157000,대변인,중구 무교로,무교소호정,1
소규모 사업장 생활악취 제거에 1억 5천만원 지원 보도자료 관련 간담회,신문팀장 등 4명,90000,대변인,중구 을지로,반갑다하대포,1
해빙기 대비 재난취약시설 점검 보도자료 관련 간담회,방송팀장 등 4명,47000,대변인,중구 을지로,대성골뱅이,1
실시간 모니터링 강화 방안 마련 업무협의 간담회,모니터링팀 이희옥 등 3명,78000,대변인,중구 을지로,참복집,1
시정 홍보 극대화 방안 마련 실국 소통 간담회,대변인 등 4명,104000,대변인,중구 세종대로,더테이블한정식,1
보도계획 수립 관련 업무협의 간담회,신문팀장 등 4명,82000,대변인,중구 남대문로,해우리,1
퇴계로 보행환경개선 공사 첫 삽 보도자료 관련 간담회,대변인 등 13명,389000,대변인,중구 을지로,남포면옥,1
17년 업무보고 개선사항 업무협의 간담회,행정팀장 등 3명,29000,대변인,중구 무교로,제일가든,1
언론담당관 환경개선 방안 마련 업무협의 간담회,언론담당관 등 2명,32000,대변인,중구 남대문로,오복미역,1
"서울시, 최근 5년간 공공임대주택 10만 5770호 공급 기자설명회 관련 간담회",대변인 등 8명,170000,대변인,중구 세종대로,우도일식,1
교통영향평가 심의 개선 보도자료 관련 간담회,신문팀장 등 5명,85700,대변인,중구 을지로,서울　불고기,1
방송 아이템 발굴 업무협의 간담회,방송팀 이혜연 등 3명,50000,대변인,중구 세종대로,봉추찜닭,1
서울형 도시재생 신규지역 17개소 최종 선정 기자설명회 관련 간담회,대변인 등 10명,271000,대변인,중구 무교동,남산집,1
오피니언 리더 소통 확대 방안 업무협의 간담회,대변인 등 8명,194000,대변인,종로구 종로,안동국시,1
여의샛강 생태산책로 개통 보도자료 관련 간담회,신문팀장 등 7명,155000,대변인,중구 남대문로,세림,1
시정 핵심사업 보도 기획 방안 마련 간담회,신문팀장 등 9명,214000,대변인,중구 다동길,청주,1
프레스투어 지원 방안 마련 간담회,대변인 등 4명,60000,대변인,중구 남대문로,세림,1
청년수당 연구 발표 토론회 개최 보도자료 관련 간담회,언론담당관 등 4명,98000,대변인,중구 세종대로,대복,1
시정 홍보 극대화 방안 마련 실국 소통 간담회,언론담당관 등 5명,131000,대변인,중구 무교로,대게잔치,1
수퍼데스크 이슈 관련 업무협의 간담회,신문팀장 등 3명,36000,대변인,중구 무교동,두르가,1
한옥마을 가꾸기 주민제안 사업 모집 보도자료 관련 간담회,신문팀장 등 2명,35000,대변인,중구 북창동,종합포장마차,1
